protocol,mechanisms,seed,features,model,accuracy,bal_acc,eer,auc,fold
P3_presplit_smote_kfold,M1+M2,2,MFCC,GNB,67.0909090909091,67.0909090909091,33.11688311688312,0.7350575476471581,4.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,LR,80.7012987012987,80.7012987012987,19.35064935064935,0.8886032720526227,4.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,RF,93.38961038961038,93.38961038961038,6.311688311688313,0.9817809411367853,4.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,KNC,93.42857142857143,93.42857142857143,2.597402597402595,0.9837644796761681,4.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),GNB,68.66233766233766,68.66233766233766,30.467532467532465,0.7861528082307303,4.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),LR,78.71428571428571,78.71428571428571,21.259740259740262,0.8701839095968966,4.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),RF,90.5064935064935,90.5064935064935,9.42857142857143,0.9649876876370382,4.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),KNC,92.71428571428572,92.71428571428572,5.493506493506492,0.9762886152808231,4.0
P0_speaker_disjoint,none,3,MFCC,GNB,67.20924127067471,67.2344069939873,32.76453142259347,0.7290983875512939,
P0_speaker_disjoint,none,3,MFCC,LR,83.30270412181675,83.32191786487725,16.9336617900006,0.9018517875134628,
P0_speaker_disjoint,none,3,MFCC,RF,85.45550013126805,85.51767219296664,13.546218033241622,0.9461115440165574,
P0_speaker_disjoint,none,3,MFCC,KNC,85.58676818062484,85.6587387065447,13.266456335281681,0.9166560508324743,
P0_speaker_disjoint,none,3,Transfer(GNB+NMF),GNB,69.15200840115516,69.17860741211331,30.034400817501954,0.7905468340273607,
P0_speaker_disjoint,none,3,Transfer(GNB+NMF),LR,81.46495143082174,81.4608104762015,18.43001187319014,0.9023527997401463,
P0_speaker_disjoint,none,3,Transfer(GNB+NMF),RF,84.72039905487004,84.78899857665101,14.5180218261551,0.9413647495848795,
P0_speaker_disjoint,none,3,Transfer(GNB+NMF),KNC,83.04016802310318,83.09610390613066,15.666930821709682,0.9000356526587288,
P1_random_holdout,M2,3,MFCC,GNB,65.2038431576214,65.202492211838,33.78342840959663,0.7260684279375869,
P1_random_holdout,M2,3,MFCC,LR,81.9527395481693,81.95273158824561,18.07322895173363,0.8922261331607126,
P1_random_holdout,M2,3,MFCC,RF,91.01532069592314,91.0149694542218,9.088549041820071,0.9702566384809377,
P1_random_holdout,M2,3,MFCC,KNC,94.46896909893535,94.46774824344918,4.051314210192712,0.987345551644617,
P1_random_holdout,M2,3,Transfer(GNB+NMF),GNB,68.63152427940794,68.63092878046149,30.563485320494664,0.7794174050248817,
P1_random_holdout,M2,3,Transfer(GNB+NMF),LR,78.9145676447676,78.91470108292538,21.111394317001793,0.8665698372240428,
P1_random_holdout,M2,3,Transfer(GNB+NMF),RF,88.0550506361984,88.0549958867716,11.815107011368692,0.9529864735472213,
P1_random_holdout,M2,3,Transfer(GNB+NMF),KNC,92.59932485068813,92.5978880932152,6.310204852260927,0.9722479804722794,
P2_random_kfold,M2,3,MFCC,GNB,65.80963511232308,65.80904268414007,33.60602575819402,0.7253720571819767,0.0
P2_random_kfold,M2,3,MFCC,LR,81.23620309050773,81.23626853541161,18.828730604632966,0.8897924978163878,0.0
P2_random_kfold,M2,3,MFCC,RF,90.27399039085833,90.27379294296978,9.829894073726845,0.9663353421442229,0.0
P2_random_kfold,M2,3,MFCC,KNC,94.79288404103363,94.79228535681405,3.8438455857308123,0.9868878719307179,0.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),GNB,68.44565640825867,68.44526130841373,31.099852627248104,0.7819831920870612,0.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),LR,78.09375405791455,78.09380596033412,21.828332664479117,0.8644582786727685,0.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),RF,87.78080768731333,87.78090022156498,12.03739625733913,0.9511990476415301,0.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),KNC,91.97506817296454,91.9742923915866,7.427714845528399,0.9706356588101589,0.0
P2_random_kfold,M2,3,MFCC,GNB,65.95247370471368,65.95311725407804,33.58005510459419,0.7283526626580379,1.0
P2_random_kfold,M2,3,MFCC,LR,80.5349954551357,80.53498332360964,19.426048892680935,0.8858661774475849,1.0
P2_random_kfold,M2,3,MFCC,RF,90.13115179846774,90.13142479436948,10.154525557537761,0.9638662921083071,1.0
P2_random_kfold,M2,3,MFCC,KNC,94.24750032463317,94.24814266491752,4.323957008973888,0.9860735110124879,1.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),GNB,68.75730424620178,68.75760386069396,30.476560313226113,0.7828265554232836,1.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),LR,78.10673938449551,78.1067120363407,21.828332664479117,0.8634567509872625,1.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),RF,86.84586417348396,86.84572062577776,13.06323538834575,0.9453580955528502,1.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),KNC,91.4946110894689,91.49537816117925,7.427600184806107,0.9718208797175298,1.0
P2_random_kfold,M2,3,MFCC,GNB,66.41558441558442,66.41558441558442,33.58441558441558,0.7312678697925451,2.0
P2_random_kfold,M2,3,MFCC,LR,80.37662337662339,80.37662337662337,19.66233766233766,0.8858769438353854,2.0
P2_random_kfold,M2,3,MFCC,RF,90.5844155844156,90.5844155844156,9.922077922077921,0.9657792545117221,2.0
P2_random_kfold,M2,3,MFCC,KNC,94.44155844155844,94.44155844155844,3.8051948051948075,0.9857962556923595,2.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),GNB,68.57142857142857,68.57142857142857,30.402597402597404,0.7848649350649349,2.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),LR,78.03896103896105,78.03896103896105,21.818181818181813,0.8644576151121606,2.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),RF,86.50649350649351,86.50649350649351,13.467532467532466,0.944221892393321,2.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),KNC,91.97402597402598,91.97402597402598,7.688311688311687,0.9717459268004722,2.0
P2_random_kfold,M2,3,MFCC,GNB,66.33766233766234,66.33766233766234,33.05194805194805,0.7365501770956316,3.0
P2_random_kfold,M2,3,MFCC,LR,80.67532467532467,80.67532467532467,19.350649350649352,0.8861783100016867,3.0
P2_random_kfold,M2,3,MFCC,RF,90.67532467532467,90.67532467532467,9.623376623376622,0.9658596727947377,3.0
P2_random_kfold,M2,3,MFCC,KNC,94.9090909090909,94.9090909090909,3.974025974025975,0.9861922752572103,3.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),GNB,69.8961038961039,69.8961038961039,29.909090909090914,0.7928703997301401,3.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),LR,77.74025974025975,77.74025974025973,22.311688311688314,0.8620802158880081,3.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),RF,87.05194805194805,87.05194805194805,12.857142857142856,0.9463450160229381,3.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),KNC,91.8051948051948,91.8051948051948,7.610389610389612,0.9715137122617641,3.0
P2_random_kfold,M2,3,MFCC,GNB,65.84415584415585,65.84415584415584,34.18181818181818,0.7291321976724574,4.0
P2_random_kfold,M2,3,MFCC,LR,81.28571428571428,81.28571428571429,18.779220779220783,0.8889591499409681,4.0
P2_random_kfold,M2,3,MFCC,RF,90.68831168831169,90.68831168831169,9.4025974025974,0.9672632147073705,4.0
P2_random_kfold,M2,3,MFCC,KNC,95.18181818181817,95.18181818181819,3.5844155844155843,0.9874192949907237,4.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),GNB,69.33766233766234,69.33766233766234,30.142857142857142,0.78735520323832,4.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),LR,78.1948051948052,78.1948051948052,21.753246753246753,0.859883386743127,4.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),RF,86.94805194805195,86.94805194805195,12.961038961038962,0.9473812109967954,4.0
P2_random_kfold,M2,3,Transfer(GNB+NMF),KNC,91.1038961038961,91.1038961038961,7.77922077922078,0.9693715297689325,4.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,GNB,66.80950525905726,66.80892802341776,32.839889790811625,0.7391553214378456,0.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,LR,81.13232047786002,81.13245336849594,18.945593487270973,0.8903330219507836,0.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,RF,93.81898454746137,93.81873825992237,6.206986210361956,0.9815293716929655,0.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,KNC,93.36449811712765,93.36366334262985,2.765916763060361,0.9831125327541843,0.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),GNB,69.44552655499285,69.44549400223251,30.56745928701265,0.7964870652588127,0.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),LR,77.92494481236203,77.92504223898666,22.295804429276256,0.862858019674431,0.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),RF,89.41695883651474,89.41707500497425,10.479160413722862,0.9621564309489524,0.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),KNC,92.62433450201273,92.62352500784077,5.441167246152965,0.9776513099987522,0.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,GNB,67.03025581093365,67.03081001055553,32.21659410441545,0.7443755543340067,1.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,LR,81.30112972341254,81.30106533300508,18.815743591645955,0.895731720888823,1.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,RF,93.5592780158421,93.55965561314821,6.81729825614531,0.981829512995444,1.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,KNC,93.33852746396572,93.33936201425166,2.3892360560758386,0.984340717708674,1.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),GNB,70.79600051941306,70.79607253302397,29.087128659447536,0.8044487685775663,1.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),LR,78.65212310089599,78.65213623042759,21.347877259069158,0.8714665443618962,1.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),RF,89.74159200103882,89.74171323353353,10.284378825536965,0.9626127131762031,1.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),KNC,92.7412024412414,92.7420403538295,5.142422106587256,0.9783554280048696,1.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,GNB,67.12987012987013,67.12987012987013,32.142857142857146,0.7478707033226514,2.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,LR,80.5974025974026,80.5974025974026,19.376623376623378,0.8865231236296172,2.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,RF,93.46753246753246,93.46753246753246,6.753246753246754,0.98012960026986,2.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,KNC,93.31168831168831,93.31168831168831,3.454545454545456,0.9792911114859167,2.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),GNB,70.1948051948052,70.19480519480518,29.272727272727273,0.7973237308146399,2.0
