target,seed,pred_rate,near_thresh,otsu,otsu_gap,score_mean,score_median,score_std,eer,auc,acc,deficit
asvspoof2021df,0,0.2841666666666667,0.005333333333333333,0.580078125,0.080078125,0.4040111808554816,0.25832599401474,0.3824309675652183,24.683333333333334,0.8730844444444444,76.78333333333333,-1.4666666666666686
asvspoof2021df,1,0.324,0.009166666666666667,0.533203125,0.033203125,0.3828358121771362,0.12463856488466263,0.41931560137317114,28.616666666666667,0.8393732222222223,74.36666666666667,-2.9833333333333485
asvspoof2021df,2,0.2981666666666667,0.0075,0.490234375,0.009765625,0.2999083346826001,0.007695647422224283,0.4441676393154378,28.049999999999997,0.8515449444444444,77.14999999999999,-5.199999999999989
asvspoof2021df,3,0.2623333333333333,0.0036666666666666666,0.607421875,0.107421875,0.438024576499961,0.38142114877700806,0.36525316450705986,24.71666666666667,0.8726125,76.06666666666668,-0.7833333333333456
asvspoof2021df,4,0.30033333333333334,0.458,0.623046875,0.123046875,0.4951042485996834,0.4275161921977997,0.36691054641386045,25.916666666666664,0.8739416111111112,76.73333333333333,-2.6499999999999915
asvspoof2021df,5,0.2816666666666667,0.005,0.501953125,0.001953125,0.29557355955994363,0.027585284784436226,0.43380122187740944,26.583333333333336,0.8600405555555555,76.16666666666667,-2.750000000000014
asvspoof2021df,6,0.2813333333333333,0.0045,0.580078125,0.080078125,0.42226290520823856,0.2991051971912384,0.3721550191303597,24.083333333333336,0.8762804444444444,76.86666666666667,-0.950000000000017
asvspoof2021df,7,0.26616666666666666,0.004666666666666667,0.498046875,0.001953125,0.27496113357526974,0.01615283451974392,0.43030149592121686,25.5,0.8670122222222223,75.88333333333334,-1.38333333333334
asvspoof2021df,8,0.3418333333333333,0.017333333333333333,0.544921875,0.044921875,0.41040495152113604,0.14033624529838562,0.408858881349881,31.65,0.8094141666666667,72.95,-4.6000000000000085
asvspoof2021df,9,0.2851666666666667,0.004666666666666667,0.494140625,0.005859375,0.2876322808470183,0.0026730059180408716,0.44480495916820906,27.73333333333333,0.850210611111111,76.78333333333333,-4.516666666666666
