target,seed,phase,overall_auc,overall_eer,generator,n_fake,auc,eer
dataset2,2,adapted,0.7325474632503084,33.82063430581037,FlashSpeech,118,0.9166722567565553,16.949152542372882
dataset2,2,adapted,0.7325474632503084,33.82063430581037,NaturalSpeech3,32,0.8553278913808267,25.0
dataset2,2,adapted,0.7325474632503084,33.82063430581037,OpenAI,600,0.6080207417179713,42.50000000000001
dataset2,2,adapted,0.7325474632503084,33.82063430581037,PromptTTS2,25,0.9897889182058048,4.0000000000000835
dataset2,2,adapted,0.7325474632503084,33.82063430581037,VALLE,95,0.8846248206267648,19.744942831957243
dataset2,2,adapted,0.7325474632503084,33.82063430581037,VoiceBox,104,0.9368445977944659,13.98416886535372
dataset2,2,adapted,0.7325474632503084,33.82063430581037,seedtts_files,599,0.5196600754996233,48.19454679439941
dataset2,2,adapted,0.7325474632503084,33.82063430581037,xTTS,600,0.956638449135151,11.333333333288147
dataset2,3,source,0.6899698708989878,37.03641193329343,FlashSpeech,118,0.839870011776456,22.37442922374429
dataset2,3,source,0.6899698708989878,37.03641193329343,NaturalSpeech3,32,0.7297781992084432,33.99296394018248
dataset2,3,source,0.6899698708989878,37.03641193329343,OpenAI,600,0.6930266051011433,36.88239387613083
