seed,target,method,epoch,q_t,lo_frac,hi_frac,lambda_t,c_epoch,shift,pi_real,shrunk,q_max,n_conf,stopped
5,arabic,ours_gmmq,0,0.1,0.0185,0.1815,0.3,,,0.0924,False,0.3,2744,
5,arabic,ours_gmmq,1,0.1286,0.0238,0.2334,0.3,0.0,0.15534,0.0924,False,0.3,1548,
5,arabic,ours_gmmq,2,0.1571,0.029,0.2852,0.3,0.0,0.07906,0.0924,False,0.3,1889,
5,arabic,ours_gmmq,3,0.1857,0.0343,0.3371,0.3,0.0,0.07115,0.0924,False,0.3,2230,fixed_E
5,dataset2,ours_gmmq,0,0.1,0.1046,0.0954,0.3,,,0.5228,False,0.3,708,
5,dataset2,ours_gmmq,1,0.1286,0.1344,0.1227,0.3,0.0,0.41831,0.5228,False,0.3,715,
5,dataset2,ours_gmmq,2,0.1571,0.1643,0.15,0.3,0.0,0.02899,0.5228,False,0.3,872,
5,dataset2,ours_gmmq,3,0.1857,0.1942,0.1772,0.3,0.0,0.01314,0.5228,False,0.3,1033,fixed_E
5,in_the_wild,ours_gmmq,0,0.1,0.038,0.162,0.3,,,0.1901,False,0.3,1413,
5,in_the_wild,ours_gmmq,1,0.1286,0.0489,0.2083,0.3,0.0,0.01513,0.1901,False,0.3,2373,
5,in_the_wild,ours_gmmq,2,0.1571,0.0597,0.2546,0.3,0.0,0.02846,0.1901,False,0.3,1945,
5,in_the_wild,ours_gmmq,3,0.1857,0.0706,0.3008,0.3,0.0,0.02246,0.1901,False,0.3,2447,fixed_E
5,asvspoof2019,ours_gmmq,0,0.1,0.0225,0.1775,0.3,,,0.1127,False,0.3,3716,
5,asvspoof2019,ours_gmmq,1,0.1286,0.029,0.2282,0.3,0.0,0.10764,0.1127,False,0.3,1714,
5,asvspoof2019,ours_gmmq,2,0.1571,0.0354,0.2789,0.3,0.0,0.0385,0.1127,False,0.3,1888,
5,asvspoof2019,ours_gmmq,3,0.1857,0.0419,0.3296,0.3,0.0,0.01952,0.1127,False,0.3,2239,fixed_E
6,arabic,ours_gmmq,0,0.1,0.0841,0.1159,0.3,,,0.4205,False,0.3,1202,
6,arabic,ours_gmmq,1,0.1286,0.1081,0.149,0.3,0.0,0.37787,0.4205,False,0.3,1544,
6,arabic,ours_gmmq,2,0.1571,0.1322,0.1821,0.3,0.0,0.02109,0.4205,False,0.3,1886,
6,arabic,ours_gmmq,3,0.1857,0.1562,0.2152,0.3,0.0,0.05682,0.4205,False,0.3,2230,fixed_E
6,dataset2,ours_gmmq,0,0.1,0.0708,0.1292,0.3,,,0.3541,False,0.3,634,
6,dataset2,ours_gmmq,1,0.1286,0.0911,0.1661,0.3,0.0,0.51214,0.3541,False,0.3,716,
6,dataset2,ours_gmmq,2,0.1571,0.1113,0.203,0.3,0.0,0.01381,0.3541,False,0.3,872,
6,dataset2,ours_gmmq,3,0.1857,0.1315,0.2399,0.3,0.0,0.01625,0.3541,False,0.3,1031,fixed_E
6,in_the_wild,ours_gmmq,0,0.1,0.0219,0.1781,0.3,,,0.1097,False,0.3,3282,
6,in_the_wild,ours_gmmq,1,0.1286,0.0282,0.2289,0.3,0.0,0.01017,0.1097,False,0.3,4698,
6,in_the_wild,ours_gmmq,2,0.1571,0.0345,0.2798,0.3,0.0,0.00733,0.1097,False,0.3,4623,
6,in_the_wild,ours_gmmq,3,0.1857,0.0407,0.3307,0.3,0.0,0.00276,0.1097,False,0.3,4938,fixed_E
6,asvspoof2019,ours_gmmq,0,0.1,0.0214,0.1786,0.3,,,0.1068,False,0.3,2709,
