corpus,ckpt,arm,seed,eval_sub,q,skew,rule,label,nominal,actual,purity,bound,n_adapt,pi_c,excess,wrong
itw,ssl_aasist_wavefake,source,0,0,0.3,0.9,symmetric,0,0.3,0.303,0.3135313531,0.3201320132,8000,0.097,1648,1664
itw,ssl_aasist_wavefake,source,0,0,0.3,0.9,symmetric,1,0.3,0.319,0.9980407524,1,8000,0.903,0,5
itw,ssl_aasist_wavefake,source,0,0,0.3,0.9,bbse,0,0.0281966378,0.02825,1,1,8000,0.097,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.9,bbse,1,0.5718033622,0.576375,0.997831273,1,8000,0.903,0,10
itw,ssl_aasist_wavefake,source,0,0,0.3,0.95,symmetric,0,0.3,0.304875,0.1672816728,0.1693316933,8000,0.051625,2026,2031
itw,ssl_aasist_wavefake,source,0,0,0.3,0.95,symmetric,1,0.3,0.30825,0.999594485,1,8000,0.948375,0,1
itw,ssl_aasist_wavefake,source,0,0,0.3,0.95,bbse,0,0.009857361182,0.009875,1,1,8000,0.051625,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.95,bbse,1,0.5901426388,0.607125,0.9995882232,1,8000,0.948375,0,2
itw,ssl_aasist_wavefake,source,0,0,0.3,0.97,symmetric,0,0.3,0.306,0.09803921569,0.09844771242,8000,0.030125,2207,2208
itw,ssl_aasist_wavefake,source,0,0,0.3,0.97,symmetric,1,0.3,0.311125,0.9995982322,1,8000,0.969875,0,1
itw,ssl_aasist_wavefake,source,0,0,0.3,0.97,bbse,0,0.0009933774834,0.001,1,1,8000,0.030125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.97,bbse,1,0.5990066225,0.616375,0.9997972014,1,8000,0.969875,0,1
