corpus,ckpt,arm,seed,eval_sub,q,skew,rule,setting,pi_hat,n,prior,eer,legacy_eer,auc,accuracy,balanced_accuracy,fpr,fnr,oracle_accuracy,threshold_gap,threshold,exact_one_pct,near_one_pct,largest_tie_pct,n_unique
df2021,deepfense_w2v2_aasist_s2,source,1,0,0.02,0.5,bbse_quantile,disjoint_eval,0.6133968891,14272,0.4979680493,4.721311475,4.736454461,0.9914487167,87.96945067,88.0159227,23.41939986,0.5487547488,95.46664798,7.497197309,0.5337113142,0,0,4.960762332,1286
df2021,deepfense_w2v2_aasist_s2,source,1,50000,0.3,0,median,available_pool,0.9742599097,50000,0.9723,4.569598292,4.564813567,0.9918525095,59.188,79.01265042,0,41.97469917,99.05,39.862,0.9998840094,0,0,9.734,1068
df2021,deepfense_w2v2_aasist_s2,source,1,50000,0.3,0,median,disjoint_eval,0.9742599097,30000,0.9719333333,4.400533677,4.398946749,0.9925485833,59.52666667,79.17895603,0,41.64208793,99.04333333,39.51666667,0.9998840094,0,0,9.663333333,823
df2021,deepfense_w2v2_aasist_s2,source,1,50000,0.3,0,bbse_quantile,available_pool,0.9742599097,50000,0.9723,4.569598292,4.564813567,0.9918525095,98.852,87.90583643,23.68231047,0.5060166615,99.05,0.198,0.4288207591,0,0,9.734,1068
df2021,deepfense_w2v2_aasist_s2,source,1,50000,0.3,0,bbse_quantile,disjoint_eval,0.9742599097,30000,0.9719333333,4.400533677,4.398946749,0.9925485833,98.84666667,87.87315533,23.75296912,0.500720214,99.04333333,0.1966666667,0.4288207591,0,0,9.663333333,823
df2021,deepfense_w2v2_aasist_s2,source,2,0,0.02,0.5,median,available_pool,0.6082538886,22272,0.5,4.62164751,4.63362069,0.9919080882,95.40229885,95.40229885,4.543821839,4.65158046,95.51005747,0.1077586207,0.9996750355,0,0,4.961386494,1568
df2021,deepfense_w2v2_aasist_s2,source,2,0,0.02,0.5,median,disjoint_eval,0.6082538886,14272,0.5011210762,4.761032581,4.750458739,0.9915714234,95.3125,95.31296345,4.480337079,4.893736018,95.36855381,0.05605381166,0.9996750355,0,0,5.009809417,1297
df2021,deepfense_w2v2_aasist_s2,source,2,0,0.02,0.5,bbse_quantile,available_pool,0.6082538886,22272,0.5,4.62164751,4.63362069,0.9919080882,88.2183908,88.2183908,23.0154454,0.5477729885,95.51005747,7.291666667,0.5645765066,0,0,4.961386494,1568
df2021,deepfense_w2v2_aasist_s2,source,2,0,0.02,0.5,bbse_quantile,disjoint_eval,0.6082538886,14272,0.5011210762,4.761032581,4.750458739,0.9915714234,88.08856502,88.06305457,23.31460674,0.5592841163,95.36855381,7.279988789,0.5645765066,0,0,5.009809417,1297
df2021,deepfense_w2v2_aasist_s2,source,2,50000,0.3,0,median,available_pool,0.9733567486,50000,0.9723,4.569598292,4.564813567,0.9918525095,59.188,79.01265042,0,41.97469917,99.05,39.862,0.9998840094,0,0,9.734,1068
df2021,deepfense_w2v2_aasist_s2,source,2,50000,0.3,0,median,disjoint_eval,0.9733567486,30000,0.9720333333,4.722584006,4.697227946,0.9910651192,59.39,79.11079867,0,41.77840266,98.97666667,39.58666667,0.9998840094,0,0,9.73,828
df2021,deepfense_w2v2_aasist_s2,source,2,50000,0.3,0,bbse_quantile,available_pool,0.9733567486,50000,0.9723,4.569598292,4.564813567,0.9918525095,98.864,87.84186218,23.8267148,0.4895608351,99.05,0.186,0.3819107711,0,0,9.734,1068
df2021,deepfense_w2v2_aasist_s2,source,2,50000,0.3,0,bbse_quantile,disjoint_eval,0.9733567486,30000,0.9720333333,4.722584006,4.697227946,0.9910651192,98.80333333,86.70870187,26.10250298,0.4800932753,98.97666667,0.1733333333,0.3819107711,0,0,9.73,828
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,median,available_pool,0.9804591265,400435,0.9721902431,4.5608144,4.56025484,0.9918730774,58.1177969,78.42061919,0.08081896552,43.07794266,99.08299724,40.96520034,0.9997219443,0,0,10.1015146,2049
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,median,disjoint_eval,0.9804591265,380435,0.9722659587,4.543869042,4.541832495,0.9919782019,58.12267536,78.43183303,0.06634442233,43.06998951,99.08368052,40.96100517,0.9997219443,0,0,10.10106851,1979
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,bbse_quantile,available_pool,0.9804591265,400435,0.9721902431,4.5608144,4.56025484,0.9918730774,98.89744902,80.86166026,38.23635057,0.04032889887,99.08299724,0.1855482163,0.918713212,0,0,10.1015146,2049
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,bbse_quantile,disjoint_eval,0.9804591265,380435,0.9722659587,4.543869042,4.541832495,0.9919782019,98.89784063,80.78817601,38.38498721,0.03866076932,99.08368052,0.1858398938,0.918713212,0,0,10.10106851,1979
df2021,deepfense_w2v2_aasist_s42,source,1,50000,0.3,0,median,available_pool,0.9826427772,50000,0.9723,4.492926132,4.49363989,0.9921837795,58.488,78.58253403,0.1444043321,42.69052761,99.11,40.622,0.9997219443,0,0,10.106,644
df2021,deepfense_w2v2_aasist_s42,source,1,50000,0.3,0,median,disjoint_eval,0.9826427772,30000,0.9719333333,4.641565562,4.639462058,0.9923186948,58.26666667,78.4730958,0.1187648456,42.93504356,99.12666667,40.86,0.9997219443,0,0,10.00333333,483
