corpus,ckpt,seed,eval_sub,skew,setting,arm,n,n_pos,eer,eer_lo,eer_hi,d_vs_ref,d_lo,d_hi,d_vs_sym,dsym_lo,dsym_hi,B
itw,ssl_aasist_wavefake,0,0,0.0,disjoint_eval,Sym q=.3,11779,4397,4.632890815497155,4.239796188098249,5.012191817935518,-0.38250504066901503,-0.5754417259185817,-0.2226388312362549,0.0,0.0,0.0,2000
itw,ssl_aasist_wavefake,0,0,0.0,disjoint_eval,BBSE,11779,4397,4.538065564887565,4.172311026821999,4.930971066440383,-0.4773302912786055,-0.633961099458431,-0.284444127286426,-0.09482525060959049,-0.1550529482830711,0.013546464372798939,2000
itw,ssl_aasist_wavefake,0,0,0.9,available_pool,Source,13129,11816,5.255140898705255,4.417364813404418,5.864432597105865,0.0,0.0,0.0,-0.7616146230007614,-1.2185833968012185,-0.37671545604913154,2000
itw,ssl_aasist_wavefake,0,0,0.9,available_pool,q=.02,13129,11816,5.0396699460488765,4.417364813404418,5.635948210205636,-0.21547095265637903,-0.3808073115003807,0.07616146230007628,-0.9770855756571405,-1.3859178110389867,-0.5260770316097783,2000
itw,ssl_aasist_wavefake,0,0,0.9,available_pool,q=.10,13129,11816,5.255140898705255,4.493526275704494,5.864432597105865,0.0,-0.20286783258225352,0.2608233818976458,-0.7616146230007614,-1.166268678607,-0.3808073115003807,2000
itw,ssl_aasist_wavefake,0,0,0.9,available_pool,q=.30,13129,11816,6.016755521706017,5.178979436405179,6.778370144706779,0.7616146230007614,0.3767154560491315,1.2185833968012185,0.0,0.0,0.0,2000
itw,ssl_aasist_wavefake,0,0,0.9,available_pool,BBSE,13129,11816,5.026656511805026,4.341203351104341,5.5772775047145355,-0.22848438690022885,-0.4054256475425292,0.03781130240365829,-0.9900990099009903,-1.4053810642849576,-0.5420292221269467,2000
itw,ssl_aasist_wavefake,0,0,0.9,disjoint_eval,Source,5129,4592,5.027932960893855,3.810565321171212,6.1241876624425355,0.0,0.0,0.0,-0.9310986964618246,-1.7694795546272735,-0.3361895163788699,2000
itw,ssl_aasist_wavefake,0,0,0.9,disjoint_eval,q=.02,5129,4592,4.8417132216014895,3.7243947858473,5.58659217877095,-0.1862197392923655,-0.7770780650350809,0.1862197392923655,-1.11731843575419,-1.934555830965097,-0.6825981575522863,2000
itw,ssl_aasist_wavefake,0,0,0.9,disjoint_eval,q=.10,5129,4592,4.943379790940772,4.028745644599308,5.901567944250874,-0.08455316995308326,-0.437783719170787,0.407685460875674,-1.015651866414908,-1.6300340939495301,-0.5226480836236891,2000
itw,ssl_aasist_wavefake,0,0,0.9,disjoint_eval,q=.30,5129,4592,5.95903165735568,4.8417132216014895,6.9805564627247145,0.9310986964618246,0.33618951637886973,1.7694795546272735,0.0,0.0,0.0,2000
itw,ssl_aasist_wavefake,0,0,0.9,disjoint_eval,BBSE,5129,4592,4.812717770034847,3.7243947858473,5.553680313588842,-0.2152151908590083,-0.8077194984832506,0.1862197392923648,-1.146313887320833,-1.962438012488243,-0.7065078761877367,2000
itw,ssl_aasist_wavefake,0,0,0.95,available_pool,Source,12438,11816,4.662379421221865,3.697749196141479,5.594476753121034,0.0,0.0,0.0,-0.9929660960736115,-1.546571999670438,-0.32154340836012885,2000
itw,ssl_aasist_wavefake,0,0,0.95,available_pool,q=.02,12438,11816,4.578537576167907,3.536977491961415,5.489053323547919,-0.08384184505395784,-0.38813425749919217,0.2548161251871271,-1.0768079411275693,-1.5985523599049902,-0.3883711329155025,2000
